Flight_ID,Date,Time,Aircraft_Type,Aircraft_Age,Flight_Hours,Crew_Experience,Pilot_Error_Flag,Altitude,Airspeed,Weather_Condition,Visibility,Wind_Speed,Temperature,Icing_Condition,Mechanical_Failure_Flag,Engine_Failure_Type,Maintenance_History,Air_Traffic_Control_Issue,Flight_Phase,Terrain_Type,Crash_Severity,Casualties,Survivors,External_Factor,Flight_Data_Anomaly_Score,Crash_Cause,Crash_Risk_Score
FL4919,02-01-2020,08:56:35,Boeing 747-400,8.7,7316,14026,FALSE,10840,430,Snow,9.9,11,23,TRUE,TRUE,Fuel System,0,TRUE,Approach,Ocean,Minor,0,231,Terrorism,0.15,Human Error,0.89
FL2865,25-07-2022,12:23:41,Airbus A350,16.1,22855,1556,TRUE,18157,383,Clear,13.1,0,-14,TRUE,FALSE,Fuel System,3,FALSE,Climb,Urban,Minor,0,108,Terrorism,0.03,External,0.29
FL6922,13-02-2020,04:30:29,Airbus A321,2.7,47786,3029,TRUE,40879,287,Storm,3.5,24,-1,TRUE,FALSE,Fuel System,4,FALSE,Cruise,Mountain,Minor,0,59,None,0.67,Mechanical Failure,0.21
FL7805,03-11-2022,01:42:57,Boeing 787,23,69580,14050,FALSE,2487,457,Storm,9.7,15,34,FALSE,FALSE,None,4,FALSE,Approach,Mountain,Fatal,233,93,Bird Strike,0.02,ATC,0.42
FL7401,05-06-2021,03:28:05,Airbus A380,8.8,35880,7370,FALSE,40395,382,Fog,10.9,18,28,TRUE,TRUE,None,5,TRUE,Descent,Ocean,Non-Fatal,0,288,Bird Strike,0.24,External,0.65
FL6283,23-11-2023,05:11:43,Embraer E190,23.3,67871,19831,FALSE,33675,524,Storm,12.6,33,32,FALSE,FALSE,Fuel System,5,TRUE,Descent,Ocean,Non-Fatal,0,303,Bird Strike,0.47,External,0.51
FL5099,23-02-2023,02:43:37,Airbus A320,11.5,51477,4048,FALSE,38940,290,Clear,6.8,22,35,TRUE,TRUE,Fuel System,0,FALSE,Cruise,Mountain,Non-Fatal,0,73,None,0.94,ATC,0.89
FL3035,13-10-2021,16:25:59,Embraer E175,12.8,51588,12412,TRUE,39386,269,Fog,0.8,10,33,TRUE,TRUE,None,0,FALSE,Approach,Ocean,Non-Fatal,0,260,Terrorism,0.54,ATC,0.61
FL8128,03-12-2019,23:20:06,Cessna 172,2.3,44081,14498,TRUE,41373,210,Clear,13.5,34,32,FALSE,TRUE,None,4,FALSE,Landing,Runway,Fatal,196,14,Bird Strike,0.72,ATC,0.6
FL1725,03-10-2020,23:32:37,Airbus A319,17.3,5419,19416,TRUE,14136,326,Rain,1.9,34,30,TRUE,TRUE,Compressor Stall,4,FALSE,Climb,Runway,Minor,0,297,Bird Strike,0.44,External,0.84
FL4876,21-08-2018,13:40:39,Airbus A330,1.6,27322,4149,FALSE,24305,500,Clear,4,15,-7,FALSE,FALSE,Bird Strike,4,FALSE,Climb,Rural,Minor,0,326,Bird Strike,0.69,Mechanical Failure,0.52
FL0934,01-10-2020,09:22:02,Airbus A380,24.9,21158,10333,FALSE,20950,494,Clear,2,33,10,TRUE,TRUE,None,5,FALSE,Cruise,Mountain,Non-Fatal,0,22,Terrorism,0.79,Mechanical Failure,0.17
FL1729,08-03-2019,06:49:14,Embraer E190,22.6,54826,19784,TRUE,14916,197,Clear,9.4,30,-1,TRUE,TRUE,Bird Strike,0,TRUE,Landing,Mountain,Fatal,349,0,Bird Strike,0.14,Human Error,0.27
FL8228,04-07-2025,00:59:40,Boeing 767,22.2,16689,15336,TRUE,16529,513,Snow,13.1,3,9,FALSE,FALSE,Bird Strike,0,FALSE,Approach,Runway,Fatal,323,2,Bird Strike,0.72,Human Error,0.54
FL4151,28-02-2024,03:08:46,Boeing 737-900,8.5,63512,8806,TRUE,29264,543,Storm,1.4,34,20,FALSE,TRUE,None,5,FALSE,Approach,Mountain,Minor,0,289,None,0.61,ATC,0.07
FL0640,29-09-2020,21:46:26,Airbus A319,7.1,44271,6406,FALSE,1745,246,Fog,6.4,34,2,TRUE,FALSE,Fuel System,3,TRUE,Approach,Urban,Fatal,329,5,None,0,Mechanical Failure,0.6
FL5486,01-12-2023,13:06:48,Cessna 172,1.2,30267,7193,TRUE,15121,442,Fog,8.9,26,5,FALSE,FALSE,None,4,TRUE,Climb,Mountain,Fatal,323,14,Terrorism,0.54,Mechanical Failure,0.72
FL4207,10-06-2020,04:38:01,Airbus A330,23.9,7083,2587,FALSE,35548,415,Snow,7,29,34,FALSE,TRUE,Compressor Stall,4,TRUE,Approach,Mountain,Minor,0,168,Bird Strike,0.35,Mechanical Failure,0.9
FL0674,10-03-2020,06:56:55,Boeing 747-400,17.9,60553,15376,FALSE,13248,396,Storm,7.5,34,9,FALSE,TRUE,Bird Strike,1,TRUE,Cruise,Mountain,Fatal,182,79,Terrorism,0.37,ATC,0.34
FL5757,29-05-2019,23:46:35,Bombardier CRJ,3.3,35595,16557,FALSE,31997,289,Clear,5.2,11,9,TRUE,FALSE,None,5,TRUE,Descent,Rural,Minor,0,345,Bird Strike,0.22,Mechanical Failure,0.91
FL9462,02-08-2019,19:40:26,Boeing 737-600,10.3,50736,5619,FALSE,2225,450,Storm,9.2,26,22,FALSE,TRUE,Fuel System,5,FALSE,Takeoff,Rural,Fatal,158,5,Bird Strike,0.02,ATC,0.44
FL3192,03-06-2021,22:36:57,Airbus A321,15.3,27482,18485,TRUE,2308,535,Rain,5.4,27,-12,FALSE,TRUE,Fuel System,4,FALSE,Descent,Mountain,Minor,0,9,None,0.77,Weather,0.23
FL6826,18-09-2019,04:17:04,Embraer E190,7.2,10163,12199,TRUE,33463,313,Clear,4.3,31,-11,FALSE,FALSE,Bird Strike,3,TRUE,Cruise,Rural,Minor,0,86,Terrorism,0.07,External,0.16
FL0721,12-02-2020,03:15:19,Boeing 777,4.8,60345,3323,FALSE,530,545,Snow,5.3,5,17,FALSE,FALSE,Compressor Stall,4,FALSE,Takeoff,Mountain,Fatal,329,3,None,0.78,External,0.11
FL4262,20-03-2021,09:36:38,Boeing 747-800,17.2,15390,4439,TRUE,22842,240,Storm,5,27,8,FALSE,FALSE,Compressor Stall,4,TRUE,Cruise,Urban,Minor,0,8,None,0.29,ATC,0.4
FL7311,08-11-2018,01:44:29,Embraer E190,12.4,29397,13691,FALSE,36845,299,Clear,4.1,31,-9,TRUE,FALSE,Fuel System,5,TRUE,Climb,Rural,Fatal,307,1,Bird Strike,0.18,Human Error,0.97
FL3007,14-08-2024,12:34:32,Airbus A321,6.7,69318,2052,TRUE,27569,378,Snow,2,33,36,FALSE,TRUE,Fuel System,0,TRUE,Climb,Mountain,Fatal,62,140,None,0.55,ATC,0.43
FL8495,02-02-2022,16:11:24,Embraer E175,15.2,48732,9435,FALSE,9348,299,Clear,6,25,-11,FALSE,TRUE,Fuel System,5,FALSE,Landing,Ocean,Minor,0,8,None,0.16,Human Error,0.27
FL4005,22-12-2022,18:29:58,Boeing 747-800,10,40834,15798,FALSE,24605,176,Snow,0.9,18,39,FALSE,TRUE,None,2,TRUE,Climb,Runway,Non-Fatal,0,296,None,0.81,Mechanical Failure,0.03
FL3690,30-03-2021,12:32:01,Boeing 737-700,18.6,34253,7157,TRUE,24855,324,Clear,11.9,16,0,FALSE,TRUE,Fuel System,0,TRUE,Takeoff,Mountain,Non-Fatal,0,28,Terrorism,0.24,Weather,0.47
FL5496,08-06-2021,22:09:40,Airbus A321,15.3,8046,11761,TRUE,37792,493,Rain,3.1,4,-15,TRUE,TRUE,None,1,TRUE,Takeoff,Ocean,Minor,0,336,Terrorism,0.15,Weather,0.62
FL3429,12-02-2025,16:48:41,Airbus A320,13.3,16587,4427,TRUE,16643,227,Snow,9.5,2,29,TRUE,TRUE,Compressor Stall,4,FALSE,Approach,Runway,Fatal,93,187,Terrorism,0.76,External,0.85
FL6248,04-05-2023,13:20:21,Cessna 172,14.7,20936,15644,FALSE,35707,467,Snow,13.3,34,-2,TRUE,TRUE,Compressor Stall,5,FALSE,Descent,Runway,Non-Fatal,0,237,Bird Strike,0.7,Weather,0.41
FL1365,21-12-2022,00:02:44,Embraer E175,10.4,23290,19467,FALSE,16455,318,Fog,6.9,32,18,FALSE,TRUE,None,1,TRUE,Approach,Mountain,Non-Fatal,0,9,Terrorism,0.3,Human Error,0.68
FL4746,08-01-2021,17:12:33,Embraer E190,24,55493,12913,FALSE,5851,306,Fog,11,24,-9,FALSE,TRUE,Fuel System,2,TRUE,Cruise,Mountain,Non-Fatal,0,156,Bird Strike,0.28,External,0.11
FL5675,29-02-2024,03:34:42,Airbus A380,3.9,39621,14643,TRUE,19842,131,Clear,12.3,21,19,TRUE,FALSE,Bird Strike,5,TRUE,Approach,Ocean,Fatal,287,39,Bird Strike,0.56,External,0.99
FL6199,01-07-2023,02:58:51,Embraer E175,1.2,68399,11549,TRUE,5033,303,Clear,4.9,11,-10,FALSE,TRUE,None,0,FALSE,Takeoff,Rural,Minor,0,320,None,0.94,ATC,0.75
FL8196,07-05-2021,22:38:48,Cessna 172,5.2,60278,8390,TRUE,20500,413,Storm,4.9,14,3,FALSE,TRUE,Compressor Stall,4,FALSE,Cruise,Mountain,Non-Fatal,0,158,Bird Strike,0.29,External,0.94
FL1635,27-09-2024,04:20:25,Boeing 787,11,13580,7500,TRUE,3964,469,Rain,11.5,10,12,FALSE,TRUE,Bird Strike,2,TRUE,Takeoff,Runway,Non-Fatal,0,224,None,0.08,External,0.52
FL1386,06-04-2023,18:52:52,Boeing 737-600,23.7,10209,17474,FALSE,19568,423,Storm,14.9,5,29,FALSE,TRUE,Fuel System,5,FALSE,Climb,Urban,Fatal,27,187,Bird Strike,0.74,Human Error,0.11
FL2921,25-05-2023,13:18:42,Boeing 767,7.7,36399,13404,FALSE,40335,130,Storm,3.9,32,10,FALSE,FALSE,Bird Strike,3,FALSE,Landing,Mountain,Minor,0,205,Terrorism,0.74,Mechanical Failure,0.81
FL3367,22-08-2020,10:11:35,Boeing 767,2.2,6517,7422,FALSE,10422,505,Fog,11.8,22,0,FALSE,TRUE,Bird Strike,3,FALSE,Landing,Runway,Non-Fatal,0,49,Terrorism,0.2,Human Error,0.43
FL7304,23-11-2024,08:22:45,Boeing 737-800,20.6,23334,13290,FALSE,5639,470,Storm,12.7,28,-16,FALSE,TRUE,None,2,TRUE,Takeoff,Runway,Non-Fatal,0,223,Bird Strike,0.3,Human Error,0.61
FL9374,16-08-2024,11:43:29,Airbus A320,0.7,37525,19342,TRUE,40965,230,Storm,8.3,18,-19,FALSE,FALSE,Bird Strike,3,FALSE,Approach,Urban,Non-Fatal,0,207,Terrorism,0.48,Mechanical Failure,0.02
FL1068,14-01-2025,14:29:56,Bombardier CRJ,10.7,48727,5364,TRUE,17575,426,Fog,2.3,16,38,FALSE,TRUE,Fuel System,4,TRUE,Climb,Mountain,Minor,0,151,None,0.67,External,0.61
FL1859,21-08-2022,05:14:05,Cessna 172,13,17991,12854,TRUE,15927,221,Fog,5,10,17,FALSE,TRUE,Fuel System,0,TRUE,Descent,Ocean,Fatal,31,204,Terrorism,0.45,External,0.09
FL7639,31-10-2020,17:38:01,Boeing 737-700,15.5,27220,11997,TRUE,20653,445,Snow,3.1,11,2,TRUE,TRUE,Bird Strike,0,FALSE,Descent,Urban,Minor,0,169,None,0.38,ATC,0.11
FL7611,09-01-2020,10:13:49,Airbus A321,8.8,15767,12355,FALSE,36238,274,Snow,12.2,34,22,FALSE,FALSE,None,1,TRUE,Takeoff,Urban,Fatal,273,38,None,0.82,Mechanical Failure,0.6
FL8653,27-11-2019,06:50:54,Boeing 747-800,21.3,67579,17176,FALSE,16391,337,Snow,13.7,1,9,TRUE,FALSE,None,4,FALSE,Takeoff,Mountain,Fatal,170,90,Bird Strike,0.66,External,0.36
FL2568,18-07-2023,12:54:10,Embraer E190,11.2,64992,10472,TRUE,16714,279,Snow,5,34,23,TRUE,FALSE,None,2,FALSE,Climb,Urban,Fatal,211,121,Bird Strike,0.05,Weather,0.78
FL2641,10-08-2018,17:24:13,Airbus A320,23.7,16328,2151,FALSE,40028,270,Fog,12.2,34,-10,FALSE,TRUE,Fuel System,1,TRUE,Landing,Ocean,Minor,0,153,Terrorism,0.3,ATC,0.69
FL2891,12-01-2023,23:16:03,Boeing 747-400,9.1,28492,15277,FALSE,18361,210,Rain,0.7,20,38,TRUE,FALSE,Compressor Stall,3,FALSE,Descent,Ocean,Minor,0,28,None,0.62,Human Error,0.19
FL2470,30-06-2023,20:13:46,Boeing 737-800,21.1,50978,5144,TRUE,31484,332,Fog,9.8,21,-5,TRUE,FALSE,Compressor Stall,2,TRUE,Climb,Rural,Fatal,202,112,Terrorism,0.38,Weather,0.14
FL5422,18-12-2023,00:54:23,Airbus A350,23.2,7344,18683,TRUE,32616,438,Snow,11.5,4,-2,FALSE,TRUE,None,4,TRUE,Takeoff,Rural,Minor,0,278,Terrorism,0.22,Weather,0.52
FL2292,14-12-2023,20:25:41,Boeing 737-800,3.9,69387,4978,FALSE,37650,482,Clear,12.1,14,41,TRUE,TRUE,None,3,TRUE,Approach,Urban,Minor,0,219,None,0.88,Human Error,0.83
FL0608,04-01-2025,23:09:28,Boeing 737-900,1.8,45460,16966,FALSE,31943,111,Snow,2.6,33,-9,TRUE,FALSE,None,5,FALSE,Cruise,Urban,Non-Fatal,0,248,None,0.01,Mechanical Failure,0.6
FL9811,24-10-2021,00:39:38,Boeing 737-900,2.9,34880,11725,FALSE,24034,121,Fog,2.7,13,8,TRUE,TRUE,Compressor Stall,3,FALSE,Landing,Mountain,Non-Fatal,0,309,Bird Strike,0.31,Human Error,0.31
FL1255,02-05-2021,16:42:13,Bombardier CRJ,17.1,16566,18866,TRUE,32866,336,Snow,5.2,9,34,TRUE,TRUE,Fuel System,4,FALSE,Cruise,Mountain,Non-Fatal,0,180,Terrorism,0.2,Human Error,0.7
FL0495,14-01-2022,19:05:02,Boeing 737-800,24.4,64585,17264,TRUE,6749,497,Storm,10.2,1,18,TRUE,TRUE,Compressor Stall,5,TRUE,Landing,Rural,Non-Fatal,0,314,Terrorism,0.81,Weather,0.45
FL2913,22-06-2025,16:19:50,Boeing 747-400,23.9,36585,1028,TRUE,19088,288,Clear,3,12,8,FALSE,FALSE,Bird Strike,0,FALSE,Landing,Mountain,Minor,0,320,Bird Strike,0.07,Human Error,0.54
FL7706,21-11-2019,20:46:14,Airbus A321,11.1,68205,9162,FALSE,35128,282,Fog,11.6,24,-3,FALSE,TRUE,Bird Strike,1,FALSE,Climb,Runway,Non-Fatal,0,59,Bird Strike,0.75,Mechanical Failure,0.67
FL0512,07-02-2019,09:29:49,Airbus A320,20.6,39963,17691,TRUE,4721,145,Storm,5.4,0,34,FALSE,FALSE,Compressor Stall,1,TRUE,Descent,Mountain,Minor,0,213,None,0.88,Mechanical Failure,0.59
FL6337,02-08-2018,05:43:54,Boeing 737-700,2.9,16358,9944,TRUE,16695,170,Storm,13.3,3,44,FALSE,FALSE,Compressor Stall,0,FALSE,Climb,Rural,Fatal,57,279,Terrorism,0.74,Human Error,0.39
FL0790,17-08-2019,13:25:24,Airbus A321,22.4,52166,13846,FALSE,37515,525,Rain,0.6,27,6,FALSE,TRUE,Fuel System,1,FALSE,Takeoff,Ocean,Minor,0,8,None,0.09,Mechanical Failure,0.26
FL8279,01-06-2024,04:56:09,Boeing 747-400,20.3,8809,10905,TRUE,12438,476,Clear,0.7,31,14,FALSE,TRUE,None,5,TRUE,Approach,Runway,Minor,0,68,None,0.05,Weather,0.19
FL7910,02-07-2024,21:36:38,Boeing 737-800,24.8,60943,1092,FALSE,31826,237,Snow,7.4,7,-19,FALSE,FALSE,Fuel System,5,FALSE,Descent,Urban,Minor,0,78,None,0.95,Human Error,0.89
FL7787,17-12-2021,20:36:53,Bombardier CRJ,2.5,14912,7217,TRUE,691,169,Clear,0.6,5,7,FALSE,FALSE,Fuel System,5,TRUE,Descent,Ocean,Fatal,67,78,None,0.67,External,0.08
FL2230,22-07-2021,00:18:46,Airbus A380,10.1,36329,5025,FALSE,35450,370,Fog,1.5,15,11,TRUE,FALSE,Bird Strike,4,TRUE,Cruise,Urban,Minor,0,121,Terrorism,0.63,External,0.46
FL3085,31-01-2021,06:56:49,Airbus A330,2.5,35333,4847,TRUE,5965,432,Fog,7.8,29,39,FALSE,FALSE,Compressor Stall,2,FALSE,Landing,Urban,Fatal,222,68,Bird Strike,0.58,Weather,0.05
FL4117,06-05-2024,16:18:44,Embraer E175,19.1,35870,7404,FALSE,30563,121,Snow,13.9,33,5,TRUE,FALSE,None,2,FALSE,Approach,Mountain,Fatal,161,115,Bird Strike,0.65,External,0.66
FL5595,26-09-2023,10:35:56,Boeing 737-900,2.8,14894,13905,TRUE,24196,102,Clear,10.3,4,24,FALSE,FALSE,Compressor Stall,4,TRUE,Approach,Rural,Non-Fatal,0,105,Bird Strike,0,External,0.16
FL5771,20-03-2025,13:29:15,Boeing 737-800,14.1,7440,2890,FALSE,23378,525,Clear,9.6,6,-4,TRUE,TRUE,None,3,TRUE,Cruise,Mountain,Minor,0,30,Bird Strike,0.81,ATC,0.95
FL5356,17-12-2021,05:09:10,Boeing 747-400,17.5,51486,2708,FALSE,15612,317,Fog,1.2,27,-11,TRUE,TRUE,Bird Strike,0,TRUE,Takeoff,Ocean,Non-Fatal,0,110,None,0.2,Mechanical Failure,0.28
FL3372,31-10-2024,12:03:25,Boeing 737-900,18.9,36944,4520,FALSE,16796,318,Clear,4.1,10,-13,FALSE,TRUE,Bird Strike,4,FALSE,Climb,Rural,Minor,0,234,Terrorism,0.36,External,0.31
FL8397,30-04-2021,09:53:05,Airbus A330,1.5,20689,11931,TRUE,8295,498,Rain,13.7,12,16,FALSE,FALSE,None,5,FALSE,Takeoff,Rural,Minor,0,25,None,0.21,Weather,0.06
FL4296,22-05-2025,03:01:58,Boeing 737-700,17.4,59258,7745,FALSE,10077,441,Storm,1.6,0,31,TRUE,TRUE,Fuel System,2,FALSE,Approach,Rural,Fatal,79,80,Bird Strike,0.31,Weather,0.26
FL4213,12-05-2023,21:17:11,Boeing 737-700,6.9,9419,1282,FALSE,28596,214,Snow,11.6,0,18,TRUE,TRUE,Fuel System,2,FALSE,Landing,Urban,Fatal,210,112,Terrorism,0.57,Weather,0.76
FL3061,31-12-2021,08:43:28,Boeing 787,24.4,38803,15466,TRUE,10715,195,Snow,0.5,9,6,TRUE,FALSE,Bird Strike,4,TRUE,Landing,Mountain,Fatal,85,224,None,0.18,External,0.49
FL2349,05-09-2019,06:39:48,Airbus A330,3.4,57949,6743,FALSE,37234,141,Fog,3.1,4,23,TRUE,TRUE,Bird Strike,3,FALSE,Landing,Rural,Fatal,151,150,Bird Strike,0.63,Weather,0.4
FL0943,23-06-2023,07:10:23,Boeing 737-800,16.1,56953,12313,TRUE,33710,466,Storm,4,30,41,TRUE,TRUE,Bird Strike,4,TRUE,Cruise,Urban,Non-Fatal,0,188,None,0.6,Human Error,0.89
FL5040,28-01-2020,20:53:08,Bombardier CRJ,7.3,64682,18292,FALSE,22272,415,Snow,10.1,31,-12,FALSE,TRUE,Fuel System,1,TRUE,Descent,Runway,Fatal,159,14,None,0.8,Mechanical Failure,0.61
FL5257,19-10-2023,08:43:36,Boeing 737-800,19.1,54361,1679,FALSE,31428,471,Clear,3,13,6,TRUE,TRUE,Compressor Stall,3,FALSE,Approach,Mountain,Non-Fatal,0,335,Terrorism,0.08,External,0.71
FL3618,02-05-2019,05:14:53,Airbus A319,8.1,62170,12326,TRUE,7005,533,Clear,2.2,2,16,TRUE,TRUE,Compressor Stall,1,TRUE,Climb,Urban,Non-Fatal,0,83,None,0.86,Mechanical Failure,0.61
FL5941,24-02-2024,13:47:08,Embraer E175,6.8,14267,7815,FALSE,9476,536,Clear,12.2,23,42,TRUE,FALSE,None,3,TRUE,Climb,Urban,Minor,0,20,None,0.2,Mechanical Failure,0.96
FL5261,24-04-2025,20:59:37,Boeing 777,3.2,19978,4695,FALSE,9175,330,Storm,0.7,5,39,TRUE,FALSE,Compressor Stall,2,TRUE,Approach,Ocean,Non-Fatal,0,340,Terrorism,0.39,External,0.71
FL0289,09-12-2023,05:20:02,Embraer E175,22.6,50255,4047,TRUE,23849,520,Clear,7.6,4,42,TRUE,FALSE,Fuel System,1,TRUE,Climb,Rural,Fatal,62,51,None,0.09,Weather,0.16
FL3552,18-09-2023,09:26:36,Boeing 767,21.7,35130,10261,TRUE,36012,458,Clear,9.6,32,-5,TRUE,TRUE,Bird Strike,2,FALSE,Landing,Mountain,Non-Fatal,0,5,Terrorism,0.04,Human Error,0.52
FL3538,30-05-2023,20:38:30,Boeing 767,7.9,27017,1146,FALSE,24862,469,Clear,9.8,22,-13,FALSE,FALSE,Fuel System,4,FALSE,Approach,Mountain,Fatal,163,1,Bird Strike,0.64,External,0.58
FL2070,28-05-2020,09:27:16,Boeing 737-700,3.4,46174,6992,FALSE,35143,278,Snow,12.5,6,22,TRUE,TRUE,Bird Strike,5,FALSE,Cruise,Urban,Non-Fatal,0,223,Bird Strike,0.77,Human Error,0.46
FL0998,28-11-2021,20:50:45,Boeing 737-700,1.1,27722,9404,TRUE,4243,494,Rain,13.3,17,10,TRUE,FALSE,Compressor Stall,5,TRUE,Takeoff,Urban,Minor,0,207,Terrorism,0.87,Human Error,0.67
FL4751,05-01-2024,00:12:03,Boeing 737-700,10.3,58545,17697,FALSE,11838,241,Snow,14,23,0,FALSE,FALSE,Fuel System,2,FALSE,Approach,Runway,Non-Fatal,0,7,None,0.54,Weather,0.57
FL3110,02-06-2021,11:37:08,Airbus A350,11.1,61683,6640,FALSE,19038,166,Snow,5.7,9,21,TRUE,TRUE,Fuel System,4,FALSE,Descent,Runway,Fatal,45,267,None,0.8,Mechanical Failure,0.95
FL8751,08-03-2021,09:22:13,Boeing 747-400,6,50151,13219,TRUE,37515,474,Fog,12.2,15,2,FALSE,TRUE,Fuel System,0,TRUE,Cruise,Mountain,Non-Fatal,0,108,Terrorism,0.21,Weather,0.83
FL3970,30-10-2022,12:53:16,Boeing 787,21,37998,6847,TRUE,28764,192,Fog,13.7,7,23,TRUE,TRUE,None,4,FALSE,Takeoff,Rural,Non-Fatal,0,191,Bird Strike,0.72,ATC,0.34
FL0352,03-11-2024,00:20:34,Boeing 747-800,19.8,33975,5695,FALSE,31655,213,Storm,10,16,19,TRUE,FALSE,Compressor Stall,4,TRUE,Cruise,Mountain,Fatal,20,89,None,0.95,Human Error,0.2
FL2425,02-07-2020,14:34:05,Boeing 737-700,18.7,21320,7961,TRUE,1326,534,Snow,8.6,15,2,TRUE,TRUE,Fuel System,4,TRUE,Approach,Runway,Non-Fatal,0,342,None,0.9,Weather,0.24
